tranId,subsidiary,currency,exchangerate,postingperiod,tranDate,reversalDate,isDeferred,journalItemLine_accountRef,journalItemLine_debitAmount,journalItemLine_creditAmount,journalItemLine_memo,journalItemLine_entityRef,journalItemLine_departmentRef,journalItemLine_classRef,journalItemLine_locationRef,journalItemLine_taxCodeRef,journalItemLine_taxCodeAmount,Company,Account,"Direct, Assumed, Ceded",Profit Center,Project,Affiliate,Risk Location
,,USD,,,9/30/2018,,,Other Assets - TPA - Claims Advances,,"350,924.48",Sept Prem Losses,,,,,,,3911,1703000270,,70409,,,
,,USD,,,9/30/2018,,,Other Assets - TPA - Claims Advances,,"1,931,342.61",Sept Prem Losses,,,,,,,3911,1703000270,,70408,,,
,,USD,,,9/30/2018,,,Premium Income-Direct,,"1,056,823.74",Sept Prem Losses,,,,,,,3911,4000800100,,70409,,,USAXX9
,,USD,,,9/30/2018,,,Premium Income-Direct,,"16,304.00",Sept Prem Losses,,,,,,,3911,4000800100,,70408,,,USAXX9
,,USD,,,9/30/2018,,,Commission Expenses-Direct,"4,277.38",,Sept Prem Losses,,,,,,,3911,5100600100,,70408,,,USAXX9
,,USD,,,9/30/2018,,,Commission Expenses-Direct,"264,205.90",,Sept Prem Losses,,,,,,,3911,5100600100,,70409,,,USAXX9
,,USD,,,9/30/2018,,,Premium & Insurance Rec-Current-Direct,"792,617.84",,Sept Prem Losses,,,,,,,3911,1400300100,,70409,,,USAXX9
,,USD,,,9/30/2018,,,Premium & Insurance Rec-Current-Direct,"12,026.62",,Sept Prem Losses,,,,,,,3911,1400300100,,70408,,,USAXX9
,,USD,,,9/30/2018,,,Loss Incurred-Paid Loss-Direct,"77,828.07",,Sept Prem Losses,,,,,,,3912,5001000100,,70408,,,USAXX9
,,USD,,,9/30/2018,,,Loss Incurred-Paid Loss-Direct,"517,519.76",,Sept Prem Losses,,,,,,,3912,5001000100,,70409,,,USAXX9
,,USD,,,9/30/2018,,,Loss Adj Exp-Direct-Paid D&CC (ALAE),"140,748.73",,Sept Prem Losses,,,,,,,3912,5016000100,,70409,,,USAXX9
,,USD,,,9/30/2018,,,Loss Adj Exp-Direct-Paid D&CC (ALAE),"7,084.24",,Sept Prem Losses,,,,,,,3912,5016000100,,70408,,,USAXX9
,,USD,,,9/30/2018,,,Other Assets - TPA - Claims Advances,,"84,912.31",Sept Prem Losses,,,,,,,3912,1703000270,,70408,,,
,,USD,,,9/30/2018,,,Other Assets - TPA - Claims Advances,,"658,268.49",Sept Prem Losses,,,,,,,3912,1703000270,,70409,,,
,,USD,,,9/30/2018,,,Premium Income-Direct,,"30,253.00",Sept Prem Losses,,,,,,,3912,4000800100,,70408,,,USAXX9
,,USD,,,9/30/2018,,,Premium Income-Direct,,"2,770,270.00",Sept Prem Losses,,,,,,,3912,4000800100,,70409,,,USAXX9
,,USD,,,9/30/2018,,,Commission Expenses-Direct,"864,311.52",,Sept Prem Losses,,,,,,,3912,5100600100,,70409,,,USAXX9
,,USD,,,9/30/2018,,,Commission Expenses-Direct,"9,048.58",,Sept Prem Losses,,,,,,,3912,5100600100,,70408,,,USAXX9
,,USD,,,9/30/2018,,,Premium & Insurance Rec-Current-Direct,"21,204.42",,Sept Prem Losses,,,,,,,3912,1400300100,,70408,,,USAXX9
,,USD,,,9/30/2018,,,Premium & Insurance Rec-Current-Direct,"1,905,958.48",,Sept Prem Losses,,,,,,,3912,1400300100,,70409,,,USAXX9
